Chr	Start	End	CE_start	CE_end
chrJBEUIO010000063.1	1	136420	1	100
chrJBEUIO010000190.1	1	20294	1	100
chrJBEUIO010000083.1	1	60538	1	100
chrJBEUIO010000173.1	1	64728	1	100
chrJBEUIO010000108.1	1	34299	1	100
chrJBEUIO010000193.1	1	25938	1	100
chrJBEUIO010000031.1	1	140805	1	100
chrJBEUIO010000061.1	1	21438	1	100
chrJBEUIO010000124.1	1	73087	1	100
chrJBEUIO010000152.1	1	29531	1	100
chrJBEUIO010000071.1	1	60892	1	100
chrJBEUIO010000131.1	1	36275	1	100
chrJBEUIO010000206.1	1	66701	1	100
chrJBEUIO010000178.1	1	47301	1	100
chrJBEUIO010000045.1	1	114905	1	100
chrJBEUIO010000036.1	1	46688	1	100
chrJBEUIO010000202.1	1	53811	1	100
chrJBEUIO010000085.1	1	26364	1	100
chrJBEUIO010000147.1	1	26200	1	100
chrJBEUIO010000095.1	1	45715	1	100
chrJBEUIO010000009.1	1	47805	1	100
chrJBEUIO010000035.1	1	30892	1	100
chrJBEUIO010000056.1	1	28850	1	100
chrJBEUIO010000205.1	1	22559	1	100
chrJBEUIO010000184.1	1	24494	1	100
chrJBEUIO010000169.1	1	127724	1	100
chrJBEUIO010000010.1	1	130795	1	100
chrJBEUIO010000174.1	1	27162	1	100
chrJBEUIO010000011.1	1	14629	1	100
chrJBEUIO010000150.1	1	38962	1	100
chrJBEUIO010000016.1	1	57972	1	100
chrJBEUIO010000158.1	1	30864	1	100
chrJBEUIO010000020.1	1	70110	1	100
chrJBEUIO010000048.1	1	20406	1	100
chrJBEUIO010000072.1	1	34026	1	100
chrJBEUIO010000111.1	1	56074	1	100
chrJBEUIO010000104.1	1	63895	1	100
chrJBEUIO010000116.1	1	20833	1	100
chrJBEUIO010000185.1	1	72913	1	100
chrJBEUIO010000052.1	1	55089	1	100
chrJBEUIO010000024.1	1	48886	1	100
chrJBEUIO010000074.1	1	39343	1	100
chrJBEUIO010000065.1	1	28172	1	100
chrJBEUIO010000049.1	1	29842	1	100
chrJBEUIO010000182.1	1	87659	1	100
chrJBEUIO010000210.1	1	43676	1	100
chrJBEUIO010000136.1	1	56264	1	100
chrJBEUIO010000156.1	1	42911	1	100
chrJBEUIO010000066.1	1	39016	1	100
chrJBEUIO010000037.1	1	35976	1	100
chrJBEUIO010000168.1	1	66651	1	100
chrJBEUIO010000029.1	1	37424	1	100
chrJBEUIO010000117.1	1	39629	1	100
chrJBEUIO010000195.1	1	34749	1	100
chrJBEUIO010000149.1	1	46326	1	100
chrJBEUIO010000086.1	1	32128	1	100
chrJBEUIO010000165.1	1	31250	1	100
chrJBEUIO010000142.1	1	36656	1	100
chrJBEUIO010000119.1	1	38889	1	100
chrJBEUIO010000191.1	1	42685	1	100
chrJBEUIO010000012.1	1	73056	1	100
chrJBEUIO010000040.1	1	20155	1	100
chrJBEUIO010000126.1	1	46860	1	100
chrJBEUIO010000144.1	1	53390	1	100
chrJBEUIO010000199.1	1	39998	1	100
chrJBEUIO010000171.1	1	63382	1	100
chrJBEUIO010000076.1	1	29162	1	100
chrJBEUIO010000014.1	1	32031	1	100
chrJBEUIO010000172.1	1	34076	1	100
chrJBEUIO010000134.1	1	29228	1	100
chrJBEUIO010000162.1	1	25779	1	100
chrJBEUIO010000093.1	1	46439	1	100
chrJBEUIO010000113.1	1	21660	1	100
chrJBEUIO010000081.1	1	26026	1	100
chrJBEUIO010000192.1	1	29121	1	100
chrJBEUIO010000160.1	1	28431	1	100
chrJBEUIO010000038.1	1	50909	1	100
chrJBEUIO010000092.1	1	29715	1	100
chrJBEUIO010000008.1	1	40360	1	100
chrJBEUIO010000128.1	1	33506	1	100
chrJBEUIO010000127.1	1	29275	1	100
chrJBEUIO010000075.1	1	15188	1	100
chrJBEUIO010000041.1	1	41008	1	100
chrJBEUIO010000042.1	1	56846	1	100
chrJBEUIO010000148.1	1	27645	1	100
chrJBEUIO010000122.1	1	41376	1	100
chrJBEUIO010000100.1	1	33189	1	100
chrJBEUIO010000021.1	1	37889	1	100
chrJBEUIO010000069.1	1	26875	1	100
chrJBEUIO010000030.1	1	51803	1	100
chrJBEUIO010000197.1	1	23542	1	100
chrJBEUIO010000112.1	1	66409	1	100
chrJBEUIO010000138.1	1	73092	1	100
chrJBEUIO010000115.1	1	28461	1	100
chrJBEUIO010000078.1	1	18343	1	100
chrJBEUIO010000114.1	1	34941	1	100
chrJBEUIO010000188.1	1	32263	1	100
chrJBEUIO010000079.1	1	30679	1	100
chrJBEUIO010000194.1	1	37422	1	100
chrJBEUIO010000125.1	1	21842	1	100
chrJBEUIO010000155.1	1	56337	1	100
chrJBEUIO010000140.1	1	39807	1	100
